species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,penguin_id,timestamp,timestamp_with_time,favourite_number
Adelie,Torgersen,39.1,18.7,,3750,True,7,2025-04-13,2025-04-13 15:04:00,1
Adelie,Torgersen,39.5,17.4,,3800,False,1,2025-12-15,2025-12-15 18:15:26,2
Adelie,Torgersen,,18.0,,3250,False,74,2025-09-28,2025-09-28 02:54:52,4
Adelie,Torgersen,,,,,True,3,2025-04-17,2025-04-17 01:41:42,4
Adelie,Torgersen,36.7,19.3,193.0,3450,False,15,2025-03-13,2025-03-13 13:58:56,0
Adelie,Torgersen,,20.6,,3650,True,5,2025-07-08,2025-07-08 23:41:54,5
Adelie,Torgersen,38.9,17.8,181.0,3625,False,72,2025-01-21,2025-01-21 07:24:01,0
Adelie,Torgersen,39.2,19.6,195.0,4675,True,7,2025-04-13,2025-04-13 09:36:24,1
Adelie,Torgersen,34.1,18.1,193.0,3475,True,9,2025-05-02,2025-05-02 09:05:45,0
Adelie,Torgersen,42.0,20.2,190.0,4250,True,9,2025-08-03,2025-08-03 06:24:53,2
Adelie,Torgersen,37.8,17.1,186.0,3300,True,3,2025-11-27,2025-11-27 18:21:45,4
Adelie,Torgersen,37.8,17.3,180.0,3700,True,9,2025-03-29,2025-03-29 14:24:45,1
Adelie,Torgersen,,17.6,,3200,False,116,2025-04-10,2025-04-10 10:10:31,0
Adelie,Torgersen,38.6,21.2,191.0,3800,True,79,2025-12-26,2025-12-26 20:16:31,5
Adelie,Torgersen,34.6,21.1,198.0,4400,True,14,2025-06-01,2025-06-01 01:06:54,2
Adelie,Torgersen,,17.8,,3700,False,15,2025-05-11,2025-05-11 03:04:53,2
Adelie,Torgersen,38.7,19.0,195.0,3450,False,76,2025-05-30,2025-05-30 05:01:10,0
Adelie,Torgersen,42.5,20.7,197.0,4500,True,17,2025-11-05,2025-11-05 09:56:17,4
Adelie,Torgersen,34.4,18.4,184.0,3325,False,1,2025-09-15,2025-09-15 15:49:18,0
Adelie,Torgersen,46.0,21.5,194.0,4200,True,71,2025-12-10,2025-12-10 22:47:54,1
Adelie,Biscoe,,18.3,,3400,False,110,2025-10-21,2025-10-21 02:58:49,0
Adelie,Biscoe,,18.7,,3600,True,21,2025-07-11,2025-07-11 12:30:17,2
Adelie,Biscoe,35.9,19.2,189.0,3800,False,22,2025-10-04,2025-10-04 18:25:20,0
Adelie,Biscoe,38.2,18.1,185.0,3950,True,113,2025-06-10,2025-06-10 07:42:31,4
Adelie,Biscoe,38.8,17.2,180.0,3800,True,113,2025-11-10,2025-11-10 21:41:09,5
Adelie,Biscoe,,18.9,,3800,False,25,2025-01-22,2025-01-22 15:12:28,3
Adelie,Biscoe,,18.6,,3550,True,111,2025-09-10,2025-09-10 01:36:41,0
Adelie,Biscoe,,17.9,,3200,False,27,2025-08-24,2025-08-24 05:19:50,4
Adelie,Biscoe,37.9,18.6,,3150,False,28,2025-12-11,2025-12-11 13:48:09,4
Adelie,Biscoe,40.5,18.9,180.0,3950,True,29,2025-02-18,2025-02-18 14:09:53,5
Adelie,Dream,,16.7,,3250,False,30,2025-02-28,2025-02-28 08:13:12,2
Adelie,Dream,37.2,18.1,,3900,True,33,2025-06-19,2025-06-19 02:57:27,4
Adelie,Dream,,17.8,,3300,False,132,2025-07-07,2025-07-07 02:25:16,4
Adelie,Dream,,18.9,,3900,True,33,2025-09-28,2025-09-28 19:31:56,4
Adelie,Dream,36.4,17.0,,3325,False,87,2025-07-09,2025-07-09 00:39:28,4
Adelie,Dream,39.2,21.1,,4150,True,35,2025-06-24,2025-06-24 21:32:55,1
Adelie,Dream,38.8,20.0,,3950,True,36,2025-02-20,2025-02-20 01:50:55,1
Adelie,Dream,42.2,18.5,180.0,3550,False,148,2025-12-30,2025-12-30 19:27:11,2
Adelie,Dream,37.6,19.3,181.0,3300,False,30,2025-02-24,2025-02-24 21:13:49,0
Adelie,Dream,,19.1,,4650,True,141,2025-09-01,2025-09-01 15:29:26,4
Adelie,Dream,,18.0,,3150,False,136,2025-11-16,2025-11-16 03:43:23,5
Adelie,Dream,40.8,18.4,,3900,True,139,2025-05-11,2025-05-11 08:54:57,0
Adelie,Dream,,18.5,,3100,False,42,2025-11-03,2025-11-03 21:50:57,5
Adelie,Dream,44.1,19.7,196.0,4400,True,43,2025-05-15,2025-05-15 03:02:46,0
Adelie,Dream,,16.9,,3000,False,134,2025-01-21,2025-01-21 14:42:01,2
Adelie,Dream,39.6,18.8,190.0,4600,True,93,2025-11-25,2025-11-25 13:48:46,4
Adelie,Dream,41.1,19.0,,3425,True,36,2025-06-16,2025-06-16 13:58:20,4
Adelie,Dream,,18.9,,2975,True,47,2025-10-01,2025-10-01 06:17:57,3
Adelie,Dream,36.0,17.9,,3450,False,136,2025-03-30,2025-03-30 15:26:49,5
Adelie,Dream,,21.2,,4150,True,36,2025-11-12,2025-11-12 15:44:21,0
Adelie,Biscoe,39.6,17.7,186.0,3500,False,22,2025-01-14,2025-01-14 08:37:04,0
Adelie,Biscoe,,18.9,,4300,True,51,2025-08-30,2025-08-30 19:31:53,1
Adelie,Biscoe,35.0,17.9,,3450,False,110,2025-09-22,2025-09-22 14:43:26,3
Adelie,Biscoe,42.0,19.5,200.0,4050,True,103,2025-12-12,2025-12-12 04:15:38,1
Adelie,Biscoe,34.5,18.1,187.0,2900,False,54,2025-02-22,2025-02-22 18:53:47,1
Adelie,Biscoe,,18.6,,3700,True,57,2025-12-06,2025-12-06 22:15:35,1
Adelie,Biscoe,39.0,17.5,,3550,False,54,2025-04-02,2025-04-02 05:25:08,5
Adelie,Biscoe,,18.8,,3800,True,57,2025-09-21,2025-09-21 00:50:51,5
Adelie,Biscoe,,16.6,,2850,False,28,2025-02-04,2025-02-04 13:32:27,2
Adelie,Biscoe,37.6,19.1,194.0,3750,True,111,2025-07-25,2025-07-25 15:00:21,2
Adelie,Biscoe,,16.9,,3150,False,60,2025-03-22,2025-03-22 18:26:52,1
Adelie,Biscoe,41.3,21.1,195.0,4400,True,51,2025-02-19,2025-02-19 16:12:15,3
Adelie,Biscoe,37.6,17.0,185.0,3600,False,108,2025-12-26,2025-12-26 15:36:19,0
Adelie,Biscoe,,18.2,,4050,True,103,2025-01-02,2025-01-02 08:54:53,5
Adelie,Biscoe,36.4,17.1,184.0,2850,False,25,2025-02-23,2025-02-23 19:21:18,3
Adelie,Biscoe,,18.0,,3950,True,29,2025-04-16,2025-04-16 22:25:38,4
Adelie,Biscoe,35.5,16.2,195.0,3350,False,60,2025-09-17,2025-09-17 11:02:14,5
Adelie,Biscoe,,19.1,,4100,True,21,2025-11-06,2025-11-06 20:10:15,5
Adelie,Torgersen,35.9,16.6,190.0,3050,False,74,2025-07-10,2025-07-10 20:25:23,2
Adelie,Torgersen,,19.4,,4450,True,117,2025-08-06,2025-08-06 04:43:39,0
Adelie,Torgersen,33.5,19.0,,3600,False,72,2025-02-13,2025-02-13 23:13:33,0
Adelie,Torgersen,39.7,18.4,,3900,True,71,2025-06-11,2025-06-11 20:30:47,4
Adelie,Torgersen,,17.2,,3550,False,72,2025-07-21,2025-07-21 22:59:10,4
Adelie,Torgersen,45.8,18.9,197.0,4150,True,5,2025-09-27,2025-09-27 22:07:14,5
Adelie,Torgersen,35.5,17.5,190.0,3700,False,74,2025-12-17,2025-12-17 07:50:51,1
Adelie,Torgersen,,18.5,,4250,True,127,2025-10-31,2025-10-31 07:12:25,2
Adelie,Torgersen,,16.8,,3700,False,76,2025-09-28,2025-09-28 08:56:57,2
Adelie,Torgersen,37.2,19.4,184.0,3900,True,14,2025-08-03,2025-08-03 02:18:28,5
Adelie,Torgersen,,16.1,,3550,False,78,2025-09-09,2025-09-09 01:39:09,3
Adelie,Torgersen,,19.1,,4000,True,79,2025-07-09,2025-07-09 14:26:30,1
Adelie,Torgersen,34.6,17.2,189.0,3200,False,80,2025-10-23,2025-10-23 00:19:10,5
Adelie,Torgersen,42.9,17.6,196.0,4700,True,71,2025-08-01,2025-08-01 20:45:40,1
Adelie,Torgersen,,18.8,,3800,False,116,2025-07-27,2025-07-27 18:30:17,1
Adelie,Torgersen,35.1,19.4,193.0,4200,True,17,2025-08-25,2025-08-25 04:41:36,1
Adelie,Dream,37.3,17.8,,3350,False,87,2025-12-04,2025-12-04 12:49:35,5
Adelie,Dream,41.3,20.3,194.0,3550,True,85,2025-02-22,2025-02-22 02:10:05,2
Adelie,Dream,36.3,19.5,,3800,True,93,2025-10-07,2025-10-07 01:27:17,2
Adelie,Dream,36.9,18.6,189.0,3500,False,87,2025-08-05,2025-08-05 05:34:16,1
Adelie,Dream,38.3,19.2,189.0,3950,True,35,2025-09-09,2025-09-09 12:39:03,3
